titulo,preco,preco_antigo,marca,tamanho,imagem,url,likes,tag,anomesdia_particao,categoria
fone de ouvido tune 510bt preto,R$ 126,,sem  marca,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MjI4ODgzNS80NTlkMDVjYjdmNWZjZTI2ODhkZDNhNTA5OWQyOTMxOS5qcGc,https://www.enjoei.com.br/p/fone-de-ouvido-tune-510bt-preto-146198613?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=1,0,,20260709,
massageador elétrico pescoço ombro lombar cinza,R$ 120,R$ 120,neck massager,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTc3MzA1OS8yMTNkNWQzMmU5ZjUxZTNmNzM5ZDEwMTU5NTk2ZGJkMS5qcGc,https://www.enjoei.com.br/p/massageador-eletrico-pescoco-ombro-lombar-cinza-145992205?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=2,1,3%,20260709,
kindle 11 geração preto,R$ 590,R$ 590,kindle,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80Mjg5Mjk1MC8xOWU4MjM4MGMwNDI3ODM0ZjExZDQ2ODUyNjc5OTQ1YS5qcGc,https://www.enjoei.com.br/p/kindle-11-geracao-preto-145962426?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=3,3,barateou,20260709,
placa de vídeo palit rtx 3080 gamingpro 10gb,R$ 4.000,,palit,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8xNTA5NDg2Ny82MTU3YTQ1ZWQwMGUwMGQ5NjkyMjBjOTQ3ZWM5MGZjMC5qcGc,https://www.enjoei.com.br/p/placa-de-video-palit-rtx-3080-gamingpro-10gb-145498249?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=4,1,,20260709,
jogo kinect adventures xbox 360 original,R$ 45,R$ 45,sem  marca,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8zOTA5MzkzNS80MjUyOTJlYTU4NTRhZWVjNzg2MjFkYjdiNTQ3ZWJkYy5qcGc,https://www.enjoei.com.br/p/jogo-kinect-adventures-xbox-360-original-144817348?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=5,0,11%,20260709,
calça jeans youcom feminina azul 40-42,R$ 230,R$ 230,youcom,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8xMTcxMjUzNi85ZjRiMjkyY2MyNTgzN2EwODFhY2RlMmRlNWY3MjA1MC5qcGc,https://www.enjoei.com.br/p/calca-jeans-youcom-feminina-azul-40-42-144462377?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=6,2,15%,20260709,
capinha rhode rosa bebê,R$ 135,R$ 135,rhode,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy84MzgxMzIxLzA0MDA3MzUxNDk2Njg1NjNmZjJiNmE3MjcxZjA4NWIwLmpwZw,https://www.enjoei.com.br/p/capinha-rhode-rosa-bebe-140691319?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=7,7,37%,20260709,
cabo apple iphone usb,R$ 129,R$ 129,apple,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8zNTYxMzM0Mi8zOGRiZDY2N2NmMzc1MTRhYjc2NWEwZmJkY2ZiYWQxYi5qcGc,https://www.enjoei.com.br/p/cabo-apple-iphone-usb-129235562?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=8,7,53%,20260709,
câmera sony cyber-shot g wx100 18.2 megapixels,R$ 1.150,,sony,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy81NDI3Mzk2LzhmODRkMzI0ZDFiNzI4ZmUzZjE1YmMyN2YwMmY1YjZjLmpwZw,https://www.enjoei.com.br/p/camera-sony-cyber-shot-g-wx100-18-2-megapixels-146275952?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=9,1,,20260709,
tablet lenovo m9 semi-novo,R$ 700,,lenovo,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MjY2NDQ3OC80NTZlMDUzNWQyYTc0ZWQ4MDEwODU4OWYyY2I1ZGRhMC5qcGc,https://www.enjoei.com.br/p/tablet-lenovo-m9-semi-novo-146198605?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=10,0,,20260709,
