id,vendedor,tag_loja,avaliacoes,descricao,fl_item_ativo,link,produtos_a_venda,produtos_vendidos,tempo_medio_envio,no_enjoei_desde,anomesdia_particao
1,maria,loja em destaque,(0 avaliação),"fone de ouvido 510bt na cor preta. possui bluetooth 5.0, até 40 horas de bateria e carregamento rápido (5 minutos de carga = até 2 horas de uso). conta com conexão multiponto e microfone integrado para chamadas. leve, confortável e dobrável.",1,https://www.enjoei.com.br/p/fone-de-ouvido-tune-510bt-preto-146198613?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=1,10,0,n/a,abr/2026,20260710
2,clarice,loja em destaque,(4 avaliações),"massageador elétrico para pescoço, ombro, lombar e cervical na cor cinza. ideal para relaxar e aliviar tensões. acompanha cabo usb e manual de instruções. produto novo, na caixa.",1,https://www.enjoei.com.br/p/massageador-eletrico-pescoco-ombro-lombar-cinza-145992205?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=2,61,9,1 dia,jan/2026,20260710
3,,,,,0,https://www.enjoei.com.br/p/kindle-11-geracao-preto-145962426?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=3,,,,,20260710
4,renato,"Rio de Janeiro, RJ",(5 avaliações),"placa de vídeo palit rtx 3080 gamingpro 10gbusada. funcionando. com um pouco de poeira, que não atrapalha o funcionamento.",1,https://www.enjoei.com.br/p/placa-de-video-palit-rtx-3080-gamingpro-10gb-145498249?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=4,6,9,2 dias,set/2020,20260710
5,augusto,"São José dos Campos, SP",(6 avaliações),jogo originalxbox 360usadoporém funciona normalmentepara kinect,1,https://www.enjoei.com.br/p/jogo-kinect-adventures-xbox-360-original-144817348?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=5,36,12,1 dia,nov/2024,20260710
6,rafaela,loja em destaque,(277 avaliações),calça jeans feminina marca youcomtam 40-42pouco usada em perfeito estado103 cm comprimento80 cm cintura104 cm quadriltecido 98 % algodão e 2% elastano,1,https://www.enjoei.com.br/p/calca-jeans-youcom-feminina-azul-40-42-144462377?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=6,387,1 mil,1 dia,jun/2019,20260710
7,juliana,loja em destaque,(39 avaliações),"capinha rosa bebê da marca rhode, ideal para guardar seus itens essenciais. possui um compartimento para batom ou gloss. produto novo e em perfeito estado.",1,https://www.enjoei.com.br/p/capinha-rhode-rosa-bebe-140691319?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=7,106,204,5 dias,jan/2018,20260710
8,cintia,"Barueri, SP",(246 avaliações),"cabo usb apple original 1 m, novocompatível com:iphone 15 plus; 15 pro maxiphone 14 plus; 14;13 pro; 13 pro max; 13 mini; 13se (3ª geração); 12 pro; 12 pro max; 12 mini; 12iphone 11 pro; 11 pro max; 11; se (2ª geração)xs; xs max; xr; x8; 8 plus7; 7 plus6s; 6s plus; 6; 6 plusse (1ª geração); 5s; 5c; 5ipad, apple watch, ipod, air pods",1,https://www.enjoei.com.br/p/cabo-apple-iphone-usb-129235562?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=8,177,337,4 dias,nov/2023,20260710
9,carla,"Brasília, DF",(287 avaliações),"câmera digital sony g cyber-shot modelo dsc-wx100 18.2 megapixels zoom óptico 10xtela 2.7""funcionando perfeitamente.acompanhacartão de memóriabateria originalcarregadortripé",1,https://www.enjoei.com.br/p/camera-sony-cyber-shot-g-wx100-18-2-megapixels-146275952?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=9,42,758,1 dia,abr/2016,20260710
10,junior,"Belém, PA",(0 avaliação),"tablet lenovo m9, semi-novo, pouquíssimo uso e em excelente estado. acompanha capa, carregador e película, todos originais lenovo.",1,https://www.enjoei.com.br/p/tablet-lenovo-m9-semi-novo-146198605?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=10,1,0,n/a,jun/2026,20260710
11,denis,"Sorocaba, SP",(0 avaliação),video game playstation 3 desbloqueado com hen 4.92 e 1tb de memória. acompanha 2 controles (um original e um paralelo) e alguns cds de jogos. possui lojas para baixar jogos e o youtube e google estão funcionando perfeitamente. o game está em perfeito estado de uso.,1,https://www.enjoei.com.br/p/video-game-playstation-3-1tb-desbloqueado-146294871?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=11,3,0,n/a,jun/2026,20260710
