preco,preco_antigo,marca,likes,anomesdia_particao,categoria,fl_item_ativo
126,0,sem  marca,0,20260709,Eletrônicos,1.0
120,120,neck massager,1,20260709,Eletrônicos,1.0
590,590,kindle,3,20260709,Eletrônicos,0.0
4000,0,palit,1,20260709,Eletrônicos,1.0
45,45,sem  marca,0,20260709,Eletrônicos,1.0
230,230,youcom,2,20260709,Eletrônicos,1.0
135,135,rhode,7,20260709,Eletrônicos,1.0
129,129,apple,7,20260709,Eletrônicos,1.0
1150,0,sony,1,20260709,Eletrônicos,1.0
700,0,lenovo,0,20260709,Eletrônicos,1.0
1050,0,sony,0,20260709,Eletrônicos,1.0
75,0,dell,1,20260709,Eletrônicos,1.0
150,150,hyperx,1,20260709,Eletrônicos,1.0
6100,6100,samsung,1,20260709,Eletrônicos,0.0
400,0,apple,0,20260709,Eletrônicos,1.0
510,510,capcomm,0,20260709,Eletrônicos,1.0
148,148,sonyy,0,20260709,Eletrônicos,1.0
100,100,sonyy,0,20260709,Eletrônicos,1.0
68,68,ps1,5,20260709,Eletrônicos,1.0
51,0,nintendo,2,20260709,Eletrônicos,1.0
1178,0,sem  marca,0,20260709,Eletrônicos,1.0
100,100,lenoxx,1,20260709,Eletrônicos,1.0
360,0,"ps4,",0,20260709,Eletrônicos,1.0
750,0,sony,2,20260709,Eletrônicos,1.0
95,95,mondial,0,20260709,Eletrônicos,1.0
850,0,motorola,2,20260709,Eletrônicos,1.0
60,60,popcap,8,20260709,Eletrônicos,1.0
2100,0,lenovo,1,20260709,Eletrônicos,1.0
220,0,sega saturn,0,20260709,Eletrônicos,1.0
40,40,sem  marca,0,20260709,Eletrônicos,1.0
180,0,ps5,1,20260709,Eletrônicos,1.0
250,0,epson,0,20260709,Eletrônicos,1.0
59,0,lg,0,20260709,Eletrônicos,1.0
1199,0,apple,0,20260709,Eletrônicos,1.0
1500,0,apple,5,20260709,Eletrônicos,1.0
800,800,ray-ban,9,20260709,Eletrônicos,1.0
130,0,mondial,0,20260709,Eletrônicos,1.0
60,60,guerrilla,1,20260709,Eletrônicos,0.0
2750,2750,apple,6,20260709,Eletrônicos,1.0
5000,0,ácer,2,20260709,Eletrônicos,1.0
1300,0,nintendo,2,20260709,Eletrônicos,1.0
250,250,espada,0,20260709,Eletrônicos,1.0
250,250,espada,0,20260709,Eletrônicos,1.0
33,33,consul,0,20260709,Eletrônicos,1.0
80,0,gocase,0,20260709,Eletrônicos,1.0
250,250,espada,0,20260709,Eletrônicos,1.0
200,0,kb slim,0,20260709,Eletrônicos,1.0
850,0,sony,3,20260709,Eletrônicos,1.0
50,0,espada,0,20260709,Eletrônicos,1.0
10500,0,apple,2,20260709,Eletrônicos,1.0
100,100,warney,1,20260709,Eletrônicos,1.0
100,100,ligeirinho,0,20260709,Eletrônicos,1.0
100,100,nintend,0,20260709,Eletrônicos,1.0
100,100,game star,3,20260709,Eletrônicos,1.0
100,100,microsoftt,7,20260709,Eletrônicos,1.0
43,43,one box,0,20260709,Eletrônicos,1.0
210,0,netac,0,20260709,Eletrônicos,1.0
700,0,fujifilm,3,20260709,Eletrônicos,1.0
200,0,retekess,1,20260709,Eletrônicos,1.0
120,120,apple,1,20260709,Eletrônicos,1.0
30,30,the north face,2,20260709,Eletrônicos,1.0
250,250,intelbrás,0,20260709,Eletrônicos,1.0
38,0,lg,0,20260709,Eletrônicos,1.0
84,0,intelbrás,0,20260709,Eletrônicos,1.0
199,199,mk toys,2,20260709,Eletrônicos,1.0
90,90,ugreen,2,20260709,Eletrônicos,1.0
320,320,belkin,0,20260709,Eletrônicos,1.0
74,0,clone,0,20260709,Eletrônicos,1.0
29,29,sem  marca,1,20260709,Eletrônicos,1.0
120,0,sem  marca,2,20260709,Eletrônicos,1.0
1300,0,dell,2,20260709,Eletrônicos,1.0
750,750,nintendo,6,20260709,Eletrônicos,0.0
130,130,philips,0,20260709,Eletrônicos,1.0
10200,10200,apple,0,20260709,Eletrônicos,1.0
2000,2000,apple,1,20260709,Eletrônicos,1.0
170,0,amazon.,0,20260709,Eletrônicos,1.0
350,0,panasonic,0,20260709,Eletrônicos,1.0
1300,1300,samsung,0,20260709,Eletrônicos,1.0
2000,0,sony,3,20260709,Eletrônicos,0.0
750,0,nintendo,2,20260709,Eletrônicos,1.0
